,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22
0,4,1,4485120,118061,117979,82,224201,224101,100,300199,300085,114,2028760,2028641,119,1813185,1813066,119,1380227,1380108,119,1822194,1822080,114,1962354,1962240,114,2242674,2242560,114,1.1301232141507294,1.121446254407216,1.1433602880426068,1.130033522171118,1.121352887937716,1.1432591572990747,2.6011914704081063,3.0559083401921936
1,4,2,4485120,47046,46913,133,120104,119914,190,227359,227126,233,1932753,1928630,4123,1728727,1724577,4150,1334533,1330357,4176,1905426,1901513,3913,1944148,1940284,3864,2221386,2217528,3858,1.156836527509533,1.1850427039916507,1.188107796242183,1.1544041850858058,1.1824795233509071,1.185511611887892,2.6011914704081063,3.0559083401921936
2,6,1,4485120,100352,99892,460,172911,172369,542,227083,226535,548,1658459,1657654,805,1472251,1471443,808,1094019,1093182,837,1726916,1726180,736,1855452,1854716,736,2112931,2112195,736,1.2874491277442601,1.2820020305682847,1.3068866567674229,1.28671006077068,1.2812380913748274,1.3060794698245475,2.6011914704081063,3.0559083401921936
3,6,2,4485120,52480,51640,840,103446,102355,1091,176764,175458,1306,1673409,1572539,100870,1488971,1392911,96060,1133603,1056539,77064,1871688,1773799,97889,1910925,1813545,97380,2163843,2066370,97473,1.319937916019468,1.3555080661905439,1.3598001677799954,1.2467057689105752,1.280240410442372,1.2909755023444178,2.6011914704081063,3.0559083401921936
4,8,1,4485120,63028,62590,438,117147,116614,533,157955,157393,562,1414873,1410305,4568,1246442,1241793,4649,902003,897180,4823,1632146,1628078,4068,1750136,1746059,4077,1993978,1989904,4074,1.446358933147757,1.4447315576978457,1.4731988449904532,1.4421389773209214,1.4404354912524389,1.4686358849694297,2.6011914704081063,3.0559083401921936
5,8,2,4485120,27091,26236,855,64979,63922,1057,119887,118599,1288,1631679,1273065,358614,1397836,1119072,278764,981909,824951,156958,2632817,1595860,1036957,2751786,1638099,1113687,3040435,1873901,1166534,1.5491780940679982,1.5898518765599008,1.5919070109826223,1.0450959050812672,1.0641861471584142,1.0827788213646221,2.6011914704081063,3.0559083401921936
6,10,1,4485120,64703,63440,1263,109211,107664,1547,143963,142342,1621,1318644,1296092,22552,1159675,1137231,22444,833327,812054,21273,1629737,1609356,20381,1746300,1725918,20382,1984066,1963648,20418,1.510707039133844,1.5097281451239106,1.5370295992795173,1.4885479462238689,1.487510223249909,1.5145494158757002,2.6011914704081063,3.0559083401921936
7,10,2,4485120,36182,33669,2513,67934,64838,3096,113376,109595,3781,1820063,1123461,696602,1535739,990212,545527,1031289,731470,299819,3223823,1420733,1803090,3460520,1456974,2003546,3900069,1670360,2229709,1.739859721016982,1.785460648465142,1.7858864987009366,0.8828858196386348,0.885653449621687,0.8890696714633517,2.6011914704081063,3.0559083401921936
8,12,1,4485120,45075,44023,1052,82030,80734,1296,110808,109467,1341,1237512,1155444,82068,1080695,1010354,70341,760574,709166,51408,1625029,1525921,99108,1733735,1634362,99373,1960490,1860832,99658,1.6456812754734371,1.6456438386321526,1.6738863914997957,1.5425420688288962,1.5484833210194513,1.5838003977580908,2.6011914704081063,3.0559083401921936
9,12,2,4485120,21385,19161,2224,47727,45026,2701,85397,82140,3257,1758550,945168,813382,1475147,834616,640531,956418,609107,347311,3143423,1205865,1937558,3354833,1227639,2127194,3834542,1415002,2419540,2.066690811973492,2.128391989487876,2.1294348389008135,0.9109879882795442,0.9195140257502142,0.9197685895433825,2.6011914704081063,3.0559083401921936
